comments,disposition,incident,location,occurred,predicted_incident,reported,reported_date,season,ucpd_id,validated_address,validated_location
Theft of UC owned moving cart documented,Open,Theft,5630 S. University Ave. (Max Palevsky RC),5/19/25 12:40 PM,,2025-06-05 17:20:00-05:00,2025-06-05,Summer,25-00678,"5630 S University Ave, Chicago, Il, 60637",[ 41.79266737 -87.59818173]
A patient inappropriately touched a UCM staff member / Victim declined prosecution,Ex. Cleared,Battery,5656 S. Maryland Ave. (UCMED),6/5/25 3:20 PM,,2025-06-05 15:21:00-05:00,2025-06-05,Summer,25-00677,"5656 S Maryland Ave, Chicago, Il, 60637",[ 41.7921342  -87.60503297]
An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),6/5/25 1:49 PM,,2025-06-05 13:49:00-05:00,2025-06-05,Summer,2025-024436,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456]
Suspicious voice mail message documented,Closed,Information,5841 S. Maryland Ave. (Billings Hospital),6/4/25 4:30 PM,,2025-06-05 13:00:00-05:00,2025-06-05,Summer,25-00675,"5841 S Maryland Ave, Chicago, Il, 60637",[ 41.78877397 -87.60485715]
Theft of UC owned moving cart documented,Open,Theft,1156 E. 61st St. (S. Woodlawn Ave. RC),5/19/25 12:40 PM,,2025-06-05 12:41:00-05:00,2025-06-05,Summer,25-00676,"1156 E 61st St, Chicago, Il, 60637",[ 41.78420791 -87.5974474 ]
Incident involving a disturbed hospital visitor was documented,Closed,Information,5700 S. Maryland Ave. (CCD),5/12/25 1:00 AM to 5:00 AM,,2025-06-05 12:00:00-05:00,2025-06-05,Summer,25-00674,"5700 S Maryland Ave, Chicago, Il, 60637",[ 41.7903992  -87.60501721]
Unknown person(s) smashed window of worker's van parked on the street off-campus and took tools / Referred to CPD,Referred,Information / Theft,4900 S. Greenwood Ave. (Public Way),6/5/2025  9:30 AM to 10:30 AM,,2025-06-05 10:54:00-05:00,2025-06-05,Summer,2025-024407,"4900 S Greenwood Ave, Chicago, Il, 60615",[ 41.80591533 -87.59927541]
A secured electric scooter was taken from the bike rack,Open,Theft,948 E. 58th St. (Abbott Hall Bike Rack),6/5/25 10:45 AM,,2025-06-05 09:45:00-05:00,2025-06-05,Summer,25-00673,"948 E 58th St, Chicago, Il, 60637",[ 41.78958746 -87.60466012]
Front door of store smashed in attempted burglary / CPD case JJ282013,CPD,Information / Attempted Burglary,5228 S. Lake Park Ave. (Ulta),6/5/25 4:29 AM,,2025-06-05 04:29:00-05:00,2025-06-05,Summer,2025-024355,"5228 S Lake Park Ave, Chicago, Il, 60615",[ 41.80058331 -87.58749464]
UCPD officers arrested three subjects that were riding in a vehicle reported stolen to another law enforcement agency,Arrest,Trespass to Vehicle,850 E. 63rd St. (Gas Station),6/4/25 10:28 PM,,2025-06-04 22:29:00-05:00,2025-06-04,Summer,25-00672,"850 E 63rd St, Chicago, Il, 60637",[ 41.78049084 -87.60423327]
UCPD officers detained the driver and passenger in a vehicle reported stolen by a car rental firm / Rental firm declined charges / Subjects released,Closed,Recovered Vehicle,851 E. 53rd St. (Public Way),6/4/25 9:50 PM,,2025-06-04 21:50:00-05:00,2025-06-04,Summer,25-00671,"851 E 53rd St, Chicago, Il, 60615",[ 41.7985839  -87.60440766]
A person was the victim of an email fraud / Referred to CPD,Referred,Information / Deceptive Practice,S. Woodlawn Ave. between E. 61st St. and E. 62nd St.,5/31/25 time unknown,,2025-06-04 19:11:00-05:00,2025-06-04,Summer,2025-024275,"6120 South Woodlawn Avenue, Chicago, Il 60637-2821",[ 41.7834857 -87.5966529]
A subject took merchandise from the off-campus store without paying / UCPD officers located and arrested the suspect,Arrest,Theft,1554 E. 55th St. (Walgreens),6/4/25 1:18 PM,,2025-06-04 13:18:00-05:00,2025-06-04,Summer,25-00669,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456]
Harassing email from a known person was documented,Open,Harassment by Electronic Means,5815 S. Maryland Ave. (Mitchell Hospital),5/25/25 2:00 PM,,2025-06-04 13:10:00-05:00,2025-06-04,Summer,25-00670,"5815 S Maryland Ave, Chicago, Il, 60637",[ 41.78922352 -87.60487504]
Graffiti scrawled in 1st floor restroom,Open,Damage to Property,1116 E. 59th St. (S. Harper Ave. Library),6/1/25 to 6/4/25 6:30 PM to 12:20 PM,,2025-06-04 12:20:00-05:00,2025-06-04,Summer,25-00668,"1116 E 59th St, Chicago, Il, 60637",[ 41.78782808 -87.59934635]
